Format: Nome,Norte,Leste,Altitude(Ort.),Descrição
1,9053740753,278682115,939,TN
2,9053738753,278681743,997,TN
3,9053737990,278685275,1058,TN
4,9053744540,278685760,1438,TN
5,9053745377,278683144,1302,TN
6,9053743992,278679309,1249,TN
7,9053742924,278676376,1044,TN
8,9053743316,278673757,1089,ARV
9,9053747512,278674968,1042,TN
10,9053752371,278675729,970,TN
11,9053759487,278679801,1371,TN
12,9053763165,278675564,1176,TN
13,9053758036,278671352,1187,TN
14,9053761028,278667133,756,TN
15,9053757556,278662921,1077,TN
16,9053763852,278661546,969,TN
17,9053766173,278665680,987,TN
18,9053772785,278670744,1234,TN
19,9053774123,278663150,825,TN
20,9053770089,278659171,985,TN
21,9053764604,278652858,850,TN
22,9053760613,278647821,1002,TN
23,9053756218,278641423,1077,CE
24,9053758937,278635059,958,CE
25,9053761244,278636133,901,TN
26,9053769811,278638049,824,TN
27,9053776665,278642731,1039,TN
28,9053785658,278646104,1028,TN
29,9053792705,278648496,1137,TN
30,9053803807,278653048,1100,CE
31,9053800298,278660867,976,CE
32,9053800267,278660856,964,CE
33,9053796009,278659752,846,TN
34,9053789656,278659410,1205,TN
35,9053808679,278642478,1180,CE
36,9053813749,278631051,1310,CE
37,9053798154,278633582,872,TN
38,9053800404,278624606,1340,TN
39,9053787743,278620304,1461,TN
40,9053783879,278631998,919,TN
41,9053773347,278629416,898,TN
42,9053763130,278625499,1064,CE
43,9053769122,278611420,1501,CE
44,9053770590,278611392,1481,ARV
45,9053777936,278591750,674,TN
46,9053775763,278586155,572,TN
47,9053783511,278587890,488,TN
48,9053782667,278599363,925,TN
49,9053799000,278600719,947,TN
50,9053795939,278592974,498,TN
51,9053800154,278593223,643,TN
52,9053807518,278591602,477,TN
53,9053811470,278603202,1185,TN
54,9053824864,278606571,1176,CE
55,9053830109,278597044,635,TN
56,9053822557,278593381,544,TN
57,9053831502,278588312,810,TN
58,9053834057,278586491,1043,MU
59,9053816156,278582388,1076,TN
60,9053817428,278578939,1319,MU
61,9053805759,278581850,720,TN
62,9053804711,278577148,1222,TN
63,9053792825,278578141,1241,TN
64,9053793823,278568364,1485,MU
65,9053779012,278561692,1426,MU
66,9053774642,278574323,1306,TN
67,9053761535,278574459,1310,TN
68,9053760709,278582617,716,TN
69,9053764209,278585278,598,TN
70,9053760916,278587935,547,TN
71,9053758822,278602813,1496,TN
72,9053742057,278594347,1311,TN
73,9053744008,278591661,799,TN
74,9053747879,278585725,617,TN
75,9053745585,278587149,927,TN
76,9053744159,278583663,666,TN
77,9053745848,278581531,921,TN
78,9053748419,278574074,1307,TN
79,9053754747,278559166,1135,TN
80,9053757455,278560003,1349,TN
81,9053756985,278555938,1321,TN
82,9053756652,278551339,844,MU
83,9053748415,278557112,1404,TN
84,9053747701,278562922,1170,TN
85,9053738293,278550189,1586,AC
86,9053740485,278545765,1755,MF
87,9053742919,278545551,1790,MU
88,9053733525,278542311,1773,MF
89,9053730877,278547500,1550,AC
90,9053722557,278566246,1379,AC
91,9053728534,278571857,1363,AC
92,9053729694,278572579,1431,ARV
93,9053732018,278576486,1454,ARV
94,9053733553,278579969,1241,TN
95,9053737042,278579017,911,TN
96,9053735781,278582668,821,TN
97,9053735772,278585968,774,TN
98,9053733676,278590481,1128,TN
99,9053726481,278588401,1120,TN
100,9053726038,278585683,1379,ARV
101,9053722539,278589489,390,ARV
102,9053722441,278590780,1347,ARV
103,9053719358,278591798,1269,AC
104,9053712470,278588068,1216,AC
105,9053705962,278602131,1249,AC
106,9053713200,278604880,1241,AC
107,9053717596,278604380,1196,TN
108,9053720272,278602157,936,TN
109,9053722689,278599803,1144,TN
110,9053727077,278594908,826,TN
111,9053735065,278605462,1374,TN
112,9053752229,278613667,1304,TN
113,9053749841,278624119,1186,TN
114,9053746905,278630210,943,TN
115,9053742849,278638865,1292,TN
116,9053737824,278636830,1304,TN
117,9053734329,278635038,954,TN
118,9053726122,278631579,908,TN
119,9053725407,278621791,1174,TN
120,9053715978,278619244,1184,TN
121,9053716520,278628363,839,TN
122,9053716423,278637272,1025,TN
123,9053710098,278636544,869,TN
124,9053703651,278633866,1096,TN
125,9053700767,278633003,1245,AC
126,9053693574,278628697,1286,AC
127,9053686136,278648160,1362,AC
128,9053693755,278651926,1304,AC
129,9053696189,278650588,1473,ARV
130,9053693659,278655912,1735,ARV
131,9053696278,278659397,1210,ARV
132,9053698386,278657810,1263,TN
133,9053702424,278654436,886,TN
134,9053709939,278654489,882,TN
135,9053716440,278653877,837,TN
136,9053719016,278645666,957,TN
137,9053729843,278645857,1043,TN
138,9053731187,278652794,781,TN
139,9053738591,278651636,1328,TN
140,9053740170,278658122,1204,TN
141,9053737581,278657498,856,TN
142,9053734851,278658932,1014,TN
143,9053745147,278666557,1318,CE
144,9053739042,278679057,1098,TN
145,9053730556,278683233,1420,TN
146,9053727562,278680311,1269,TN
147,9053723313,278674484,1381,TN
148,9053728977,278672884,1017,TN
149,9053727026,278667910,1317,TN
150,9053719482,278674051,1357,TN
151,9053716894,278685005,1261,TN
152,9053700933,278683881,1246,TN
153,9053702132,278677607,1107,TN
154,9053704476,278669693,1342,TN
155,9053691191,278666381,1192,TN
156,9053688272,278666273,1222,AC
157,9053681652,278683410,1318,AC
158,9053670585,278681652,1367,AC
159,9053667774,278688361,1500,AC
160,9053684050,278681584,1311,TN
161,9053687972,278684005,1189,AC
162,9053688182,278690407,1339,AC
163,9053712384,278686195,1295,AC
164,9053712370,278692834,1386,AC
165,9053727456,278695013,1347,AC
166,9053728160,278689188,1386,AC
167,9053728871,278686830,1377,TN
168,9053735331,278687527,1214,TN
169,9053738115,278685903,1059,TN
170,9053738556,278688027,1363,ARV
171,9053744995,278688150,1461,ARV
172,9053748556,278689144,1456,TN
173,9053748589,278691388,1507,AC
174,9053748280,278696817,1440,AC
175,9053753485,278694196,1410,ARV
176,9053762770,278691520,1301,TN
177,9053763802,278688684,1141,TN
178,9053765410,278684695,1492,TN
179,9053765760,278685036,1255,TN
180,9053767565,278691759,1335,TN
181,9053768332,278693554,1365,AC
182,9053768249,278699314,1291,AC
183,9053782542,278700964,1276,AC
184,9053784280,278695556,1331,AC
185,9053785213,278693844,1272,CE
186,9053786367,278691799,1060,TN
187,9053790381,278682561,1205,CE
188,9053793966,278674515,1333,CE
189,9053793291,278692628,1036,TN
190,9053804793,278694899,1196,TN
191,9053820914,278696795,1379,TN
192,9053832791,278699485,1305,TN
193,9053838699,278701467,1320,CE
194,9053841635,278687368,1280,TN
195,9053835032,278685158,1101,TN
196,9053826858,278683446,1157,TN
197,9053817261,278681739,1233,TN
198,9053804734,278676795,1119,TN
199,9053810132,278662484,808,TN
200,9053820733,278663636,762,TN
201,9053832783,278666676,769,TN
202,9053843421,278669056,767,TN
203,9053845723,278672436,725,TN
204,9053848517,278674477,1036,TN
205,9053849111,278675420,1304,CE
206,9053844678,278665001,646,TN
207,9053851401,278663780,981,TN
208,9053854572,278663169,1175,TN
209,9053855649,278662226,1046,CE
210,9053857796,278655951,1323,TN
211,9053852290,278655001,955,TN
212,9053836126,278652833,1075,TN
213,9053819467,278648739,991,TN
214,9053821478,278643127,918,TN
215,9053824437,278635625,1101,TN
216,9053837596,278640325,1026,TN
217,9053848944,278641545,862,TN
218,9053851588,278647449,1092,TN
219,9053859520,278652092,1413,TN
220,9053861066,278652748,1281,CE
221,9053861203,278646554,1184,TN
222,9053859814,278645259,922,TN
223,9053856086,278642966,917,TN
224,9053866412,278636655,1328,TN
225,9053853283,278632118,1273,TN
226,9053841404,278629759,1192,TN
227,9053829510,278625314,1261,TN
228,9053833108,278612692,1259,TN
229,9053839606,278611823,1481,TN
230,9053854803,278614301,1338,TN
231,9053868173,278616708,1264,TN
232,9053874728,278619013,1481,TN
233,9053873642,278625459,1529,CE
234,9053881924,278607169,701,CE
235,9053880567,278605648,616,TN
236,9053880899,278599529,682,TN
237,9053870096,278598673,668,TN
238,9053868494,278604351,656,TN
239,9053857074,278602617,686,TN
240,9053853490,278602476,1117,TN
241,9053849020,278601724,1123,TN
242,9053845479,278600483,666,TN
243,9053848925,278595378,673,TN
244,9053854197,278595302,1074,TN
245,9053853901,278591925,827,TN
246,9053859832,278591067,1197,TN
247,9053856035,278588514,1140,TN
248,9053845937,278587371,1107,TN
249,9053839664,278584714,1266,TN
250,9053838437,278591667,733,TN
251,9053839694,278574213,1385,CE
252,9053847337,278575991,1328,TN
253,9053850338,278569533,1325,TN
254,9053844974,278566765,1345,TN
255,9053846536,278559354,1503,CE
256,9053852762,278561620,1802,TN
257,9053855843,278554040,1543,TN
258,9053851906,278550418,1586,TN
259,9053854931,278544004,1767,TN
260,9053854203,278542708,1726,CE
261,9053855008,278541033,1798,MU
262,9053857337,278542076,1855,MU
263,9053858024,278544789,1938,TN
264,9053865647,278548940,1742,TN
265,9053866836,278546390,1932,MU
266,9053864305,278555962,1459,TN
267,9053880127,278552255,1855,MU
268,9053878986,278555994,1635,TN
269,9053875065,278571113,1414,TN
270,9053872300,278586518,1422,TN
271,9053887772,278594073,1194,TN
272,9053893138,278579620,1534,TN
273,9053896546,278568876,1625,TN
274,9053900801,278561516,1722,MU
275,9053908696,278565001,1693,MU
276,9053907447,278568546,1624,TN
277,9053903199,278583465,1538,TN
278,9053899489,278594765,1353,TN
279,9053896345,278601819,609,TN
280,9053892683,278605651,468,TN
281,9053894387,278607758,727,TN
282,9053892074,278608149,694,TN
283,9053891432,278609812,418,TN
284,9053890095,278608905,715,TN
285,9053890608,278610211,781,TN
286,9053893868,278610867,726,TN
287,9053893522,278609148,691,TN
288,9053896627,278613417,3957,TN
289,9053898721,278611730,869,TN
290,9053899506,278613313,587,TN
291,9053900609,278614546,997,TN
292,9053901603,278613203,1013,TN
293,9053902175,278611341,673,TN
294,9053904585,278604571,750,TN
295,9053908552,278605675,692,TN
296,9053910145,278608354,651,TN
297,9053907118,278611037,763,TN
298,9053904640,278614796,1060,TN
299,9053904794,278614771,1059,TN
300,9053904662,278617321,1129,CE
301,9053910539,278619377,1268,TN
302,9053913384,278616046,1265,TN
303,9053918325,278617582,1228,TN
304,9053918858,278620496,1261,TN
305,9053921200,278619761,697,TN
306,9053923374,278620264,636,TN
307,9053924198,278617166,662,TN
308,9053921255,278615474,626,TN
309,9053919309,278613300,1041,TN
310,9053915363,278610895,1181,TN
311,9053913692,278609816,860,TN
312,9053914663,278605564,954,TN
313,9053913015,278600815,1122,TN
314,9053917107,278600335,1388,TN
315,9053924302,278604476,1423,TN
316,9053925632,278605945,845,TN
317,9053921543,278607567,1319,TN
318,9053921699,278608404,843,TN
319,9053928497,278595022,1684,TN
320,9053920696,278590412,1573,TN
321,9053924209,278578958,1616,TN
322,9053926013,278572886,1642,MU
323,9053935750,278577277,1889,MU
324,9053934530,278582415,1890,TN
325,9053937977,278584228,1545,TN
326,9053935163,278591786,1504,TN
327,9053930312,278591522,1762,TN
328,9053933950,278597178,1382,TN
329,9053934137,278600713,1538,TN
330,9053935087,278606593,1174,TN
331,9053931483,278608119,973,TN
332,9053929852,278604811,1368,TN
333,9053936501,278609143,1578,TN
334,9053941179,278598904,1734,TN
335,9053939637,278598997,1434,TN
336,9053940753,278599089,1756,TN
337,9053944591,278591181,1845,TN
338,9053942574,278588252,1617,TN
339,9053944135,278585360,1568,TN
340,9053948286,278584083,1933,TN
341,9053947985,278582800,1947,MU
342,9053950230,278581721,1847,AC
343,9053957023,278584629,1828,AC
344,9053950100,278599126,1787,AC
345,9053943092,278598054,1798,AC
346,9053937573,278610565,1602,AC
347,9053936698,278610420,1567,TN
348,9053943219,278612569,1652,AC
349,9053932004,278620399,1506,TN
350,9053933190,278618713,-2301,ARV
351,9053927907,278627696,1690,CE
352,9053928876,278627673,1767,AC
353,9053924906,278624062,1365,TN
354,9053923308,278625062,1446,TN
355,9053921078,278646962,1774,AC
356,9053926605,278648967,1672,AC
357,9053907798,278675503,1498,AC
358,9053911993,278677344,1528,AC
359,9053892339,278708542,1406,AC
360,9053897120,278711853,1542,AC
361,9053886769,278721699,1510,AC
362,9053892665,278724778,1563,AC
363,9053890018,278730395,1369,AC
364,9053867621,278721158,1492,AC
365,9053869602,278714616,1385,AC
366,9053855256,278709357,1447,AC
367,9053852898,278714856,1441,AC
368,9053852746,278715056,1442,AC
369,9053836732,278703013,1401,AC
370,9053833720,278710171,4012,AC
371,9053816975,278705710,1471,AC
372,9053817293,278700147,1474,AC
373,9053814615,278698537,1426,ARV
374,9053802209,278697694,1432,ARV
375,9053803591,278706182,1426,ARV
376,9053802163,278695972,1433,CE
377,9053785212,278695471,1324,TN
378,9053783492,278701270,1283,TN
379,9053785212,278693803,1275,CE
380,9053805534,278707692,1443,AC
381,9053809939,278709139,1473,AC
382,9053809126,278712034,1386,AC
383,9053805692,278711884,1362,AC
384,9053808247,278720545,1246,AC
385,9053803826,278717130,791,AC
386,9053805714,278743129,1241,AC
387,9053801460,278745724,1227,AC
388,9053798145,278763249,4991,AC
389,9053798088,278763228,4966,AC
390,9053802405,278763649,1078,AC
391,9053795476,278788429,758,AC
392,9053799865,278789826,1444,AC
393,9053797748,278803073,729,AC
394,9053798316,278803544,928,CE
395,9053793442,278802552,-812,CE
396,9053793264,278805713,450,AC
397,9053796447,278807610,327,AC
398,9053795606,278813740,142,AC
399,9053791376,278812901,1,AC
400,9053789415,278819641,-532,PRAIA
401,9053794281,278820658,-485,PRAIA
402,9053794272,278820636,-481,PRAIA
403,9053809164,278815594,816,PRAIA
404,9053797693,278814237,470,PRAIA
405,9053797900,278809538,729,PRAIA
406,9053792290,278807608,771,PRAIA
407,9053789025,278811906,361,PRAIA
408,9053781439,278810772,428,PRAIA
409,9053781336,278810808,418,PRAIA
410,9053781027,278816836,-469,PRAIA
411,9053770591,278814825,-510,PRAIA
412,9053761418,278812007,-440,PRAIA
413,9053761984,278803921,840,PRAIA
414,9053769972,278804821,909,PRAIA
415,9053777410,278808452,609,PRAIA
416,9053763064,278796991,1792,MU
417,9053770142,278797296,1415,TN
418,9053775028,278798350,584,TN
419,9053776131,278798517,1249,TN
420,9053775626,278792305,5634,TN
421,9053776412,278791704,1390,TN
422,9053775357,278791157,1204,TN
423,9053774024,278791381,1367,TN
424,9053773422,278797480,1373,TN
425,9053774863,278782741,1257,TN
426,9053779331,278779600,1433,TN
427,9053780409,278778936,1550,MU
428,9053774268,278779133,1492,TN
429,9053766592,278778111,1631,TN
430,9053765493,278778002,1529,MU
431,9053767300,278762528,1292,MU
432,9053768447,278763050,1368,TN
433,9053775333,278763925,1396,TN
434,9053778986,278765803,1236,TN
435,9053782072,278765857,1384,MU
436,9053777292,278759132,976,TN
437,9053773637,278758852,1006,TN
438,9053769890,278743122,1317,MU
439,9053773801,278744025,1457,TN
440,9053777476,278743566,1202,TN
441,9053780921,278743341,1331,TN
442,9053782881,278743626,1294,TN
443,9053784517,278743591,1304,MU
444,9053786816,278726009,763,MU
445,9053783473,278725892,763,TN
446,9053778906,278724853,834,TN
447,9053774939,278724486,719,TN
448,9053772456,278723989,768,MU
449,9053773772,278712186,995,MU
450,9053777635,278712111,1115,TN
451,9053781643,278712495,885,TN
452,9053788504,278712651,1285,MU
453,9053789057,278707526,1474,MU
454,9053788853,278707119,1423,CE
455,9053786200,278706583,1257,CE
456,9053780962,278706185,1161,CE
457,9053776799,278705778,1264,CE
458,9053774601,278705289,1200,MU
459,9053775530,278702732,1157,TN
460,9053780307,278703419,1188,TN
461,9053784041,278703930,1249,TN
462,9053786641,278704042,1189,TN
463,9053789023,278704447,1426,TN
464,9053793117,278695704,1459,ARV
465,9053805974,278697590,5930,ARV
466,9053829457,278700747,1336,ARV
467,9053849317,278672296,794,ARV
